county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Pope ,AR,63201,61754,22.8,14.4,50.1,92.4,3.2,1.2,8.4,3.5,81.9,20.7,4459,19.5,69.8,19918,40453,19.3,812.55,76,77.78105963
Prairie ,AR,8304,8715,20.2,22,50.6,86.7,11.7,0.1,1.2,0.3,78.6,9.3,824,24.4,72.9,18137,34855,21.2,647.96,13.4,12.8156059
Pulaski ,AR,392702,382748,23.7,13.5,52,59.2,36,2.2,6,5.2,89.2,31.2,31984,19.8,60.4,27414,46013,17.2,759.76,503.8,516.876382
Randolph ,AR,17571,17969,22.5,19.9,50.9,96.8,0.9,0.4,1.9,0.6,80.4,12.3,1405,29.2,75.3,18871,34418,21.8,652.19,27.6,26.94153544
St. Francis ,AR,26899,28258,22.5,13.9,45.1,44.5,52.7,0.6,4.4,2.4,76,11.7,1905,20.6,55.3,15511,30873,28.4,634.77,44.5,42.3759787
Saline ,AR,115719,107118,23.8,17.1,51,90.3,6.6,1.1,4.2,2.2,89.2,23.4,10509,25.6,77.7,25962,55348,8.6,723.6,148,159.9212272
Scott ,AR,10693,11233,23.6,18.7,49.6,91.1,0.7,3.8,7.6,4.8,77,11.6,961,23,73,18934,37448,20,892.32,12.6,11.98336919
Searcy ,AR,7929,8195,20.3,23.6,49.6,95.5,0.3,0.2,2.1,0.8,74.1,12,745,29.4,77.5,16731,30779,26.1,666.1,12.3,11.90361808
Sebastian ,AR,126776,125744,24.5,14.5,51,82.9,6.8,4.5,13.4,9.5,82.2,19.2,10175,17.7,62.8,23222,40471,21.2,531.91,236.4,238.3410727
Sevier ,AR,17426,17058,28.8,13.6,50.3,89,4.5,0.5,32.7,16.9,66.3,8.6,1055,21.4,69.6,16021,35153,24.4,565.13,30.2,30.83538301
Sharp ,AR,16906,17264,20.4,25.7,50.6,95.9,0.8,0.4,2.1,1.4,83,11,2092,27.9,80,16714,30861,23.9,604.44,28.6,27.96969095
Stone ,AR,12494,12394,20.1,25.4,50.4,96.6,0.4,0.4,1.8,0.8,78.9,14.2,1342,21.1,78.3,17403,29832,25.5,606.41,20.4,20.60322224
Union ,AR,40227,41639,23.9,16.6,51.4,64.4,32.6,0.8,3.6,2.1,82.4,16.1,3090,18.2,69.3,20718,37435,21.5,1039.21,40.1,38.70921181
Van Buren ,AR,16851,17295,19.7,24.6,50.3,96.3,0.5,0.4,3.1,1.6,81.4,13.6,1901,28.7,78.1,18782,32517,24.5,708.14,24.4,23.79614201
Washington ,AR,220792,203065,25.3,10.7,49.9,87.3,3.5,2.6,16.2,11.6,82.6,28.7,12056,20.6,55.9,23264,41248,20.7,941.97,215.6,234.3938767
White ,AR,78592,77076,23.8,15.1,51.1,92.2,4.6,0.7,4.2,2.5,82.6,18.1,6022,22.8,68.4,21793,42487,17.5,1035.08,74.5,75.92843065
Woodruff ,AR,6910,7260,21.9,21.2,52,70.7,26.9,0.2,1.5,0.7,73.6,10.1,581,19.3,62.9,19087,28259,24.3,586.79,12.4,11.77593347
Yell ,AR,21951,22185,25.1,17.1,50.2,93.9,2.1,1.6,18.9,12.7,71.3,9.4,1426,20.4,66.4,16992,35535,22.7,929.98,23.9,23.60373341
Apache ,AZ,71828,71518,29.3,13.5,50.6,23.4,0.9,0.4,6.4,1.7,74.5,10.4,4109,30,76.5,12709,31476,36.2,11197.52,6.4,6.414634669
Cochise ,AZ,127448,131346,22.4,19.9,49.2,87.9,4.7,2.2,34.6,11.6,85.8,22.5,18795,18.9,68.8,23608,45755,17.1,6165.69,21.3,20.67051701
Coconino ,AZ,137682,134421,21.8,11.1,50.6,66.4,1.6,1.8,13.9,5.3,87.6,31.1,8084,18.7,59.5,23382,49555,23,18618.89,7.2,7.394748022
Gila ,AZ,53119,53597,20.4,26.6,50.4,80.2,0.9,0.8,18.8,3.4,84.3,16.1,6166,20.8,75.8,20792,39954,21.6,4757.93,11.3,11.16430885
Graham ,AZ,37957,37220,28.3,12.3,46.5,81.1,2.1,0.7,32.1,5,84.4,12.3,2695,22.2,74.3,17168,44943,22.3,4622.6,8.1,8.211179855
Greenlee ,AZ,9346,8437,28.1,11.6,47.7,91.5,1.8,0.8,46.6,4.7,84.3,11.1,820,17.5,46.1,20516,47992,16,1843.13,4.6,5.070722087
La Paz ,AZ,20231,20489,17.4,36.1,48.9,77.1,1.2,0.9,25.7,13.5,75.3,9.3,3044,12.4,74,22200,35776,19.4,4499.63,4.6,4.496147461
Maricopa ,AZ,4087191,3817117,25.1,13.8,50.6,84.4,5.7,4.1,30.3,14.9,86.4,29.8,271518,25.4,62.5,27256,53596,16.7,9200.14,414.9,444.2531309
Mohave ,AZ,203361,200186,18.7,26.9,49.7,92,1.3,1.2,15.8,6.9,83.8,11.9,26193,18.9,69.4,20833,39200,19.4,13311.08,15,15.27757327
Navajo ,AZ,108101,107449,28,15.8,49.8,51,1.3,0.7,11.1,2.6,80.6,14.9,7144,22.3,72,16626,36927,30.3,9950.42,10.8,10.86396353
Pima ,AZ,1004516,980263,21.9,17.7,50.8,85.5,4.1,3.1,36.1,12.8,87.2,29.8,92409,24,62.7,25269,45841,19.2,9187.04,106.7,109.3405493
Pinal ,AZ,401918,375770,24.4,18,47.8,83.2,4.9,1.9,29.2,10.1,84.7,18,35852,31.1,74.4,20910,50027,15.6,5365.61,70,74.90630143
Santa Cruz ,AZ,46695,47420,28.3,15.8,52,96.2,0.9,0.7,82.8,33.5,72.5,19.8,2223,19.8,66.3,17664,37745,26.3,1236.92,38.3,37.75102674
Yavapai ,AZ,218844,211033,17.4,28.1,51.1,93.6,0.9,1,14.2,6.8,90.2,24.2,27950,22.2,70,25186,42987,15.8,8123.5,26,26.93961962
Yuma ,AZ,203247,195751,26.2,17.4,48.8,91.3,2.7,1.5,61.7,25.3,71.9,14.3,15380,18.8,69.6,18840,41595,20.2,5513.99,35.5,36.86024095
Alameda ,CA,1610921,1510271,21.4,12.5,51,51.7,12.1,28.9,22.7,30.8,86.4,41.8,63738,28.8,53.2,35763,72112,12.5,739.02,2043.6,2179.807042
Alpine ,CA,1116,1175,20,21.1,48,70.3,0.3,1.3,9.6,3.8,90.4,31.2,177,23.7,81.5,25527,58636,16.6,738.33,1.6,1.511519239
Amador ,CA,36742,38091,15.3,25.1,46.9,90.7,2.1,1.4,13,5.7,88.1,19.3,4631,30,76.1,27347,53684,12.6,594.58,64.1,61.79488042
Butte ,CA,224241,220000,20.2,17,50.5,86.6,1.8,4.6,15.5,7.5,87.7,24.4,18453,20.3,60.1,23787,43752,20.4,1636.46,134.4,137.0280972
Calaveras ,CA,44624,45578,17.7,25.1,50,91.9,1,1.5,11.5,4.2,92.8,21.2,5216,35.5,78.4,29329,55295,10.9,1020.01,44.7,43.7485907
Colusa ,CA,21419,21419,28,13.1,48.6,91.6,1.2,1.8,58.1,23.3,69.4,13.8,1126,21.2,63.3,21579,52158,12.5,1150.73,18.6,18.61340193
Contra Costa ,CA,1111339,1049025,23.4,14.2,51.3,67.3,9.6,16.4,25.2,23.5,88.8,39,57474,33.3,65.9,38219,78756,10.5,715.94,1465.2,1552.279521
Del Norte ,CA,27212,28610,21.2,15.6,45.2,78.6,3.5,3.7,19,6.5,79.1,14,2770,14.2,60.2,19072,37909,21.8,1006.37,28.4,27.03975675
El Dorado ,CA,183087,181058,20.9,18,49.9,89.8,1,4,12.7,8.7,93.2,32,16792,28.8,74.8,34884,69297,9,1707.88,106,107.2013256
Fresno ,CA,965974,930450,28.9,11.2,50.1,77.2,5.9,10.7,51.9,21.9,73.1,19.6,42944,22.1,53.8,20208,45563,26,5957.99,156.2,162.1308529
Glenn ,CA,27955,28122,26.7,14.9,49.6,90,1.2,3,40.4,17.2,72.3,14.6,1514,21.8,63.1,22148,43023,18.8,1313.95,21.4,21.27554321
Humboldt ,CA,134809,134623,19.5,15.4,50,84,1.4,2.8,10.8,5.7,90.4,27.5,10437,17.5,55.9,23540,41426,20.4,3567.99,37.7,37.78289737
Imperial ,CA,179091,174528,28.5,12,48.9,89.7,3.5,2.3,82.3,32.3,64.5,13.3,6405,20.8,56.4,16763,41807,23.3,4176.6,41.8,42.879615
Inyo ,CA,18410,18546,20.6,21.4,49.9,81.4,1,1.6,20.9,10.4,88.1,21.4,1720,14.8,64.1,27441,44796,12.8,10180.88,1.8,1.808291621
Kern ,CA,874589,839631,29.4,9.9,48.7,82.7,6.3,5,51.5,20.6,72.4,15,44753,23.6,58,20295,48552,22.9,8131.92,103.3,107.5501235
Kings ,CA,150269,152982,27.5,9.1,44.8,81.3,7.3,4.4,53.2,20.1,71,12.9,10609,21.4,51.8,18429,48133,21,1389.42,110.1,108.1523226
Lake ,CA,64184,64665,20.4,20.6,50,87.7,2.1,1.4,19.1,8.6,85.4,16.2,6777,27.5,62.7,21537,36548,25,1256.46,51.5,51.08320201
Lassen ,CA,31749,34895,17,12.5,36.3,81.6,8.8,1.4,18.5,7,79.4,13.1,3119,19.4,62.9,19931,53107,16.9,4541.18,7.7,6.99135467
Los Angeles ,CA,10116705,9818605,22.8,12.2,50.7,71.3,9.2,14.8,48.4,35.1,76.6,29.7,331642,29.3,46.9,27749,55909,17.8,4057.88,2419.6,2493.101077
Madera ,CA,154548,150865,27.6,12.8,51.9,86,4.3,2.5,56.1,21.5,68.5,13.6,8266,25.5,60.8,17847,45625,22.8,2137.07,70.6,72.31770602
Marin ,CA,260750,252409,20.5,19.4,51.2,86,2.9,6.1,16,19,92.4,54.6,15439,28.6,62.8,56791,90839,7.7,520.31,485.1,501.143549
Mariposa ,CA,17682,18251,16.7,24.5,49.2,90.1,1.1,1.4,10.3,4.7,87.7,21.3,2153,32,71.6,26988,49820,16.1,1448.82,12.6,12.20441463
Mendocino ,CA,87869,87841,21.9,18.9,50.2,86.3,1,2.2,24.1,12.5,85.2,22,6798,18.6,58.2,23306,43469,20,3506.34,25.1,25.06003411
Merced ,CA,266353,255793,30,10.5,49.5,82,4.2,8.1,57.5,25.6,66.7,12.6,11102,26.3,53.6,18177,42591,25.4,1934.97,132.2,137.6522633
Modoc ,CA,9023,9686,20.1,23.2,49.5,88.9,1.2,1.2,14.8,7.1,84.8,18.7,996,16.9,68.8,21200,36212,21,3917.77,2.5,2.303095894
Mono ,CA,13997,14202,19.5,11.8,46.7,91.6,0.8,1.8,27.9,17,83.8,29.8,850,16.2,55.6,28046,61757,8.5,3048.98,4.7,4.590715584
Monterey ,CA,431344,415057,26.4,12,49,82.6,3.5,6.9,57.4,29.9,71,23,21572,22.5,49.7,24775,59168,17,3280.6,126.5,131.4832653
Napa ,CA,141667,136484,21.8,16.8,50.3,84.8,2.4,8.1,33.7,22.4,83.1,31.3,9410,23.6,60.6,34795,70443,10.1,748.36,182.4,189.3032765
Nevada ,CA,98893,98764,17.8,23.4,50.8,93.6,0.6,1.4,9.2,6,94.3,32.3,10085,24.6,72.6,32346,57353,12,957.77,103.1,103.2533907
Orange ,CA,3145515,3010232,23,13.1,50.6,73.5,2.1,19.6,34.3,30.4,83.8,36.8,131229,26.3,58.7,34057,75422,12.4,790.57,3807.7,3978.793782
Placer ,CA,371694,348432,22.9,17.8,51.2,85.9,1.7,7.1,13.5,10.6,93.6,35.1,29780,26.9,70.6,34886,72725,8.7,1407.01,247.6,264.1729625
Plumas ,CA,18606,20007,17.2,24.7,49.8,90.9,1.2,1.1,8.4,5.1,89.9,22.6,2276,22.9,69.7,29806,45794,15.2,2553.04,7.8,7.287782408
Riverside ,CA,2329271,2189641,26.3,13.2,50.3,80.5,7,6.8,47.4,21.9,79.6,20.5,135139,32,66.5,23591,56529,16.2,7206.48,303.8,323.218964
Sacramento ,CA,1482026,1418788,24.4,12.8,51.1,64.6,10.9,15.8,22.5,19.9,85.9,28,94398,25.7,56.7,26739,55064,17.6,964.64,1470.8,1536.351385
San Benito ,CA,58267,55269,26.8,11.4,49.8,88.4,1.3,3.5,58.3,20.1,76.9,18.2,2715,30.2,61.6,25914,66237,11.9,1388.71,39.8,41.95764414
San Bernardino ,CA,2112619,2035210,27.2,10.3,50.2,77.3,9.5,7.3,51.7,21.1,78.2,18.7,104576,29.9,61.9,21332,54090,18.7,20056.94,101.5,105.3310724
San Diego ,CA,3263431,3095313,22.3,12.7,49.8,76.3,5.6,11.9,33.2,23.4,85.5,34.6,234211,24.4,53.8,30668,62962,14.4,4206.63,735.8,775.7827525
San Francisco ,CA,852469,805235,13.4,14.4,49.1,53.8,5.8,34.9,15.3,35.6,86.3,52.4,29478,30.5,36.6,48486,75604,13.5,46.87,17179.1,18187.94538
San Joaquin ,CA,715597,685306,27.8,11.8,50.2,68.1,8.1,15.9,40.5,23.1,77.3,18.1,35277,29.4,58.3,22589,53380,18.2,1391.32,492.6,514.3295575
San Luis Obispo ,CA,279083,269637,18.1,17.5,49.1,89,2.2,3.8,22,10.4,89.6,31.5,21244,21.1,58.4,29954,58697,14.3,3298.57,81.7,84.60726921
San Mateo ,CA,758581,718451,21.5,14.7,50.8,62.5,3,27.7,25.3,34,88.6,44.4,32332,25.7,59.4,45732,88202,7.6,448.41,1602.2,1691.712941
Santa Barbara ,CA,440668,423895,22.4,14,49.9,85.9,2.4,5.7,44.4,23.4,79.1,31.3,26102,19.4,52.6,30352,62779,16,2735.09,155,161.1164532
Santa Clara ,CA,1894605,1781642,23.1,12.2,49.7,56.4,2.9,34.9,26.6,37.1,86.5,46.5,66749,25,57.5,41513,91702,10.2,1290.1,1381,1468.572204
Santa Cruz ,CA,271804,262382,20.1,13.5,50.4,87.7,1.4,4.8,33.2,18.3,84.9,37,12471,25.4,58.8,32295,66519,14.6,445.17,589.4,610.5622571
Shasta ,CA,179804,177223,21.6,19.2,51,88.5,1.1,3,9.4,5.2,88.4,18.8,17765,20.1,64.2,23670,44651,17.5,3775.4,46.9,47.6251523
Sierra ,CA,3003,3240,15.7,26.8,50,94.8,0.4,0.5,9.7,7.1,89.4,18.5,440,27.5,77.8,24996,39009,19.4,953.21,3.4,3.15040757
Siskiyou ,CA,43628,44900,20.3,22.7,50.3,87.2,1.4,1.3,11.9,5.4,89,23.9,4744,18.8,62.7,22293,37709,21,6277.89,7.2,6.949468691
Solano ,CA,431131,413344,22.9,13.5,50.3,60.6,14.8,15.6,25.6,20.1,87.2,24.3,34948,28.9,61.7,28929,67177,13,821.77,503,524.6370639
Sonoma ,CA,500292,483878,20.6,16.7,51,87.4,1.9,4.3,26.1,16.6,86.7,32.2,33151,25.3,60.1,32835,63356,11.9,1575.85,307.1,317.4743789
Stanislaus ,CA,531997,514453,27.3,12.1,50.5,84.1,3.3,5.9,44.1,20.5,76.4,16.4,25311,26.6,58.1,21663,49297,20.3,1494.83,344.2,355.8913054
Sutter ,CA,95847,94737,26.4,14.5,50.3,74,2.5,16.5,29.9,22.7,78.3,18.7,6740,27.4,59.6,23602,50408,16.7,602.41,157.3,159.1059245
Tehama ,CA,63067,63463,24,17.8,50.2,90.7,1,1.4,24.1,8.9,81.1,13.5,5608,23.3,67.5,20439,41924,19.7,2949.71,21.5,21.3807459
Trinity ,CA,13170,13786,16.9,24,49,87.9,0.5,0.9,7.3,3.4,91.3,21.3,1648,18.3,71.2,22905,36890,19.2,3179.25,4.3,4.142486435
Tulare ,CA,458198,442179,31.6,10.4,49.9,88.3,2.2,4,62.9,22.8,68,13.3,18289,21.3,57.5,17894,42708,26.2,4824.22,91.7,94.97867013
Tuolumne ,CA,53831,55365,16.8,23.5,47.8,90.8,2.1,1.3,11.5,4.8,89.1,19.5,5375,25.1,69.9,25943,48426,14.5,2220.88,24.9,24.23859011
Ventura ,CA,846178,823318,24.2,13.6,50.5,84.8,2.2,7.5,42,22.8,82.8,31.4,47834,24.6,64.9,32930,76544,11.1,1843.13,446.7,459.0983816
Yolo ,CA,207590,200849,21.7,11.5,51.3,75.9,3,13.8,31.5,21.7,84.3,37.9,10321,21.6,52.9,27730,55918,19.1,1014.69,197.9,204.5846515
Yuba ,CA,73966,72155,27.8,11.4,49.2,79.4,4,7.3,27.2,12.3,79,13.7,6420,29.5,59.1,19244,44902,21.6,631.84,114.2,117.0644467
Adams ,CO,480718,441603,27.7,9.6,49.6,87,3.7,4.1,38.8,14.9,81.4,20.9,27662,28.4,65.6,24195,56270,14.2,1167.65,378.2,411.6969982
Alamosa ,CO,16177,15445,23.9,12.6,49.6,87.8,1.9,1.6,45.5,6.7,84.7,24.2,1121,15,61.5,19487,34520,26.5,722.64,21.4,22.38597365
Arapahoe ,CO,618821,572003,24.5,11.9,50.7,78.3,10.9,5.6,18.8,14.9,91.4,38.8,42954,26.9,62.7,32595,60651,12.1,798.1,716.7,775.3677484
Archuleta ,CO,12244,12084,18.3,22.9,49.9,92.7,0.5,1.1,18.6,3.3,91.7,32.9,1162,19.6,73.7,29793,48933,9.7,1350.18,8.9,9.068420507
Baca ,CO,3645,3788,21.3,25.7,50.1,94.4,1.1,0.4,10.5,2.8,87.3,17.2,330,12.6,74.4,22318,38829,15.2,2554.97,1.5,1.426631232
Bent ,CO,5630,6499,16.2,16.9,35.6,86.5,7.2,1.3,31.8,5.9,79.4,8.8,614,17.7,63.5,15081,37340,19.1,1512.86,4.3,3.721428288
Boulder ,CO,313333,294567,20.3,12.2,49.8,90.8,1.1,4.5,13.8,10.9,93.9,58.3,15432,22.7,63.1,38011,67956,14.2,726.29,405.6,431.4158256
Broomfield ,CO,62138,55889,24.7,12.2,50.4,88.8,1.4,6.3,12,8.6,94.9,47.5,3824,26.2,68.3,37442,77998,7.1,33.03,1691.9,1881.259461
Chaffee ,CO,18363,17809,15.8,23,47.2,94.4,1.7,0.8,10.2,3.5,91.1,33.9,2264,14.9,76.2,27182,46504,8,1013.4,17.6,18.12018946
Cheyenne ,CO,1871,1836,25,18.2,48.5,96.3,0.7,0.6,12.7,8.5,87,21.3,137,13,76.5,23647,51641,7.2,1778.28,1,1.05214027
Clear Creek ,CO,9187,9088,15.4,17.9,48,95.3,0.9,0.8,5.5,4,96.6,39.8,903,32.6,81.3,41716,67259,10.2,395.23,23,23.24469296
Conejos ,CO,8265,8256,27.1,17.4,50.2,92.5,0.7,0.6,54.1,3.1,82.6,19.1,502,24.3,77.3,17316,34526,19.4,1287.39,6.4,6.419965978
Costilla ,CO,3568,3524,18.2,25.8,47.6,88.3,1.9,1.4,64.3,10.3,76.5,19.5,445,20.1,79.6,20742,29145,22.2,1226.95,2.9,2.908023962
Crowley ,CO,5360,5823,14.3,13,30.2,84,9.3,1.4,30.3,5.7,75.2,12.3,453,24.1,79.6,17187,31477,29.1,787.42,7.4,6.807040715
Custer ,CO,4361,4255,14.6,29,49.1,95.9,1.2,0.6,5.3,2.1,94.6,32.7,790,34.7,80.6,25761,32427,14.6,738.63,5.8,5.904173944
Delta ,CO,29870,30952,20.9,23.5,50.1,95.2,0.7,0.8,14.7,4.5,87.8,18.3,3493,24.8,75.7,24771,42078,15.5,1142.05,27.1,26.15472177
Denver ,CO,663862,600158,20.9,10.9,50,80.7,10.2,3.8,30.8,15.8,85.4,42.9,34001,24.6,50.2,33251,50313,19.1,153,3922.6,4338.96732
Dolores ,CO,1978,2064,20.4,22,48,93.2,0.3,0.3,5.1,1.1,88.8,18.4,169,23,80.8,22880,37750,14.9,1067.05,1.9,1.853708823
Douglas ,CO,314638,285465,28.3,9.9,50.3,91.3,1.4,4.3,8.3,6.4,97.5,55.8,19635,27.7,80.9,43634,101591,3.9,840.25,339.7,374.4576019
Eagle ,CO,52921,52197,23.2,8.1,47,95.1,1,1.2,30,19.2,88.7,47,1763,20,66,39497,74456,10.9,1684.53,31,31.41588455
Elbert ,CO,24195,23086,22.5,13.9,49.8,95.4,0.8,1,6.4,4.1,96.6,29.6,2328,41.3,90.4,36077,82118,6.5,1850.85,12.5,13.07237215
El Paso ,CO,663519,622263,25.1,11.5,49.6,83.7,7,3,16.3,7.2,93.6,35.2,81330,21.7,63.7,28867,57125,12.4,2126.8,292.6,311.9799699
Fremont ,CO,46502,46824,16.5,20.3,42.3,91.5,4,0.8,13,4,84.1,15.6,5491,23.3,70.7,18954,39943,17.6,1533.07,30.5,30.3326006
Garfield ,CO,57461,56389,25.9,10.7,48.9,94.2,1.2,0.8,28.1,15,85.2,26.6,3465,27.5,64.8,26603,57022,11.9,2947.56,19.1,19.49442929
Gilpin ,CO,5851,5441,18.7,13.2,47.3,93.1,1.8,1.5,6.4,2.6,94.4,29.1,722,32,75.5,38022,63885,10.8,149.9,36.3,39.03268846
Grand ,CO,14546,14843,18.4,13.9,47,95.6,0.5,0.9,8,4.7,94.4,32.8,1467,18.8,74.9,31684,64664,11.1,1846.33,8,7.878331609
Gunnison ,CO,15725,15324,17.9,11.2,45.9,94.5,0.5,0.7,9.3,4.3,93.3,54.5,1031,13.4,59.1,27654,52332,17.7,3239.1,4.7,4.854743602
Hinsdale ,CO,786,843,18.7,25.7,48.2,95.9,0.5,0.6,3.7,1.7,93.8,42.2,111,8.2,78.9,36365,56667,5.1,1117.25,0.8,0.70351309
Huerfano ,CO,6462,6711,15.5,29.7,49.6,89.3,1,1.1,34.4,4.8,84.7,28,832,22.9,72.5,24058,33298,20.6,1591,4.2,4.06159648
Jackson ,CO,1396,1394,17.8,20.9,46.7,95.9,0.1,0.4,11,3,88.7,22.2,145,18.9,72.2,25936,43606,8.9,1613.72,0.9,0.865081923
Jefferson ,CO,558503,534543,20.9,14.7,50.3,92.2,1.3,2.8,15.2,6.2,93.7,40.7,42215,26.2,70.6,36087,68984,8.6,764.21,699.5,730.8239882
Kiowa ,CO,1402,1398,20.5,24.1,50.8,96.6,0.7,0,6.3,2.7,92.2,20.6,83,17.2,72.8,22482,40813,17.4,1767.77,0.8,0.793089599
Kit Carson ,CO,8072,8270,22.5,17.2,44.8,94.1,2.5,0.6,19.3,9,84,13.5,799,12.5,65.8,21850,44157,13.8,2160.82,3.8,3.735618885
Lake ,CO,7357,7310,23.1,11,46.7,93.9,0.7,0.6,37.8,15,86.8,28.1,516,29.3,65.6,25029,44610,14.3,376.91,19.4,19.51924863
La Plata ,CO,53989,51334,19.4,14.2,49.2,89.2,0.6,0.8,12.6,3.5,94.2,41.4,3963,20.5,66.5,30151,58080,11.4,1692.08,30.3,31.90688384
Larimer ,CO,324122,299630,20.5,13.9,50.2,93.2,1.1,2.2,11.1,5.4,94.4,43.8,22809,22.6,65.6,30740,58626,14.1,2596,115.4,124.8543914
Las Animas ,CO,14052,15507,19,22.3,48.4,91.4,1.8,1.1,42.5,3.2,84.3,16.3,1221,21.2,69.4,22180,42261,17.8,4772.67,3.2,2.944263903
Lincoln ,CO,5510,5467,19.7,17.4,40.9,90.6,5.6,1,13.4,5.4,81.5,15.6,486,18.3,68.3,19703,41910,13.7,2577.63,2.1,2.137622545
Logan ,CO,22524,22709,18.8,15.7,43.5,91.6,4.3,0.9,16.1,5.7,88.7,15.8,1999,17.1,69.4,22581,40415,17.6,1838.55,12.4,12.25095864
Mesa ,CO,148255,146723,22.4,16.9,50.3,94.2,1,0.9,14.1,4.1,89.6,25.7,13870,21.2,71.7,26700,49471,14.7,3328.97,44.1,44.53479605
Mineral ,CO,698,712,12.6,26.5,47.6,97.1,0.4,0.4,4.4,1.1,96.5,39.3,111,14.6,83.7,42255,47083,6.4,875.67,0.8,0.797103932
Moffat ,CO,12928,13795,25.9,12.9,48.1,95.2,0.5,0.8,14.3,5.6,89.2,15.6,1193,21.8,75.9,24577,53231,11.5,4743.29,2.9,2.725534386
Montezuma ,CO,25772,25535,22.7,19.1,50.3,83.1,0.5,0.9,12.2,2.3,89.9,27.3,2319,22.6,70.5,23548,43188,19.3,2029.53,12.6,12.69850655
Montrose ,CO,40873,41276,22.5,21.3,50.8,94.3,0.7,0.8,20.2,7.3,85.7,24.5,3280,20.3,73.1,22897,45718,16,2240.7,18.4,18.24117463
Morgan ,CO,28328,28159,26.4,15.4,50.2,92.8,3.1,0.7,35.3,12.6,78.8,15.1,1638,16.5,63.5,20680,43774,13.3,1280.43,22,22.12381778
Otero ,CO,18488,18831,24.3,19,50.4,91.4,1.2,0.9,41,4.1,83,15.5,1615,17.5,64.7,19078,33848,25.2,1261.96,14.9,14.65022663
Ouray ,CO,4629,4436,17,24.6,50.9,96.8,0.2,0.6,5.5,2.9,98.4,47.5,551,22.8,75.4,33015,64601,5.6,541.59,8.2,8.547055891
Park ,CO,16345,16206,16.7,16.2,47.3,94.6,0.6,1.1,6.2,3.4,95.6,32,1992,44.2,88.5,31504,61570,9.1,2193.85,7.4,7.450372633
Phillips ,CO,4363,4442,24,20.8,50.4,96.1,1,0.6,20.6,12.2,85.6,16.8,343,13.9,69.2,20720,43011,19.9,687.93,6.5,6.342215051
Pitkin ,CO,17626,17148,16.3,15.6,47.6,95.7,0.8,1.4,9.9,12.2,96,56.8,950,17,68.7,51814,72745,10.1,970.7,17.7,18.15803029
Prowers ,CO,12034,12551,26.2,16.1,49.9,95.3,0.8,0.4,36.4,12.5,79.2,14.1,1010,14.4,65.8,18941,34391,23.3,1638.4,7.7,7.344970703
Pueblo ,CO,161875,159063,23.2,17.1,50.7,90.8,2.5,1,42.5,4,87.1,21.5,15351,20.4,65.7,21940,41777,19.1,2386.1,66.7,67.84082813
Rio Blanco ,CO,6707,6666,24.6,13.7,48.1,94.2,1.1,0.5,11.1,6.8,91.3,23.1,556,19.6,68.8,27586,60128,14.9,3220.93,2.1,2.08231784
Rio Grande ,CO,11607,11982,23.9,18.6,50.1,93.4,0.7,0.5,44.2,7,84.1,20.3,1000,19,67.4,20557,38993,19.2,911.96,13.1,12.72753191
Routt ,CO,23865,23509,19.2,12.3,47.6,96.4,0.6,0.8,7,3.5,96.9,48,1171,17.3,70.6,34873,62002,9.1,2362.03,10,10.10359733
Saguache ,CO,6196,6108,22.5,18.9,49.5,92.7,0.8,0.9,38.3,11,78,23.8,521,19,66.9,20726,34600,24.7,3168.53,1.9,1.955480933
San Juan ,CO,720,699,13.6,20.4,43.1,94.9,0.1,1.3,14.2,3.2,94.4,24.8,60,11.9,59.8,24711,39583,17.1,387.49,1.8,1.858112467
San Miguel ,CO,7840,7359,18.9,10.4,46.9,95.3,0.7,0.9,9.6,8.4,96.1,53.5,396,19.3,64.4,40827,63594,10.6,1286.61,5.7,6.093532617
Sedgwick ,CO,2348,2379,20.3,24.4,50,95.4,0.5,1.4,15.1,3.2,86.8,15,230,18.9,68.6,21536,40221,18.9,548.04,4.3,4.284358806
Summit ,CO,29404,27994,16.3,10.8,45.9,95.4,1,1,14.7,11.9,95.7,47.7,1417,16.8,65.9,34025,63697,13.7,608.36,46,48.33322375
Teller ,CO,23389,23350,18.5,18,49.1,94.7,0.7,0.9,6.2,2.4,93.6,31.6,3349,31.7,81.4,31075,59040,7,557.06,41.9,41.98650056
Washington ,CO,4780,4814,22,20.8,48.5,97,0.8,0.4,9.5,2.5,90.4,18.5,433,20.6,73.3,24977,44683,13.1,2518.03,1.9,1.898309393
Weld ,CO,277670,252825,26.9,11.1,49.6,93.1,1.4,1.5,28.8,8.5,85.6,25.9,16805,26.2,70.1,25468,57180,14.7,3987.24,63.4,69.63965049
Yuma ,CO,10202,10043,26.5,17.4,50,97.3,0.4,0.5,21.9,10.9,88,17.7,630,14.7,67.4,22498,44308,8.2,2364.41,4.2,4.314818496
